"","Action","Animation","Mystery","Comedy","Drama","Family","Horror","Romance","Thriller","Adventure","SciFi"
"1","mutant","infant","suspense","singles","play","clan","apprehension","affair","shocker","scene","space"
"2","boxer","anime","delphian","student","melodrama","folk","awe","amour","squeaker","trip","technology"
"3","army","disney","delphic","romance","farce","folklore","consternation","attachment","close shave","lifetime","future"
"4","hero","magic","abstruse","comedy","broadway","group","disgust","courtship","spine-chiller","chance","futurism"
"5","marvel","pixar","ambiguous","college","dramatization","house","dismay","enchantment","cliffhanger","feat","techno"
"6","mission","castle","apocryphal","amnesia","dramaturgy","household","dread","fascination","close call","exploit","fiction"
"7","pirate","walt","arcane","date","showmanship","people","fright","fling","enigma","experience","war"
"8","hero","cartoon","cabalistic","fireman","stagecraft","tribe","hatred","flirtation","riddle","jeopardy","infinity"
"9","bond","joy","baffling","lie","theartricals","ancestors","panic","intrigue","secrecy","gladiator","dark"
"10","confidential","child","cryptic","speed","show business","ancestry","terror","liaison","subtlety","inception","superhero"
"11","guns","animation","curious","lol","scene","birth","abhorrence","love","anxiety","revenant","justice league"
"12","superhero","","magical","rofl","guns","blood","abomination","passion","tension","avatar","marvel"
"13","actor","","mystical","laughter","tears","brood","alarm","relationship","potboiler","interstellar","DC"
"14","action","","mystifying","smile","cry","children","antipathy","sex","page-turner","stellar","annihilation"
"15","","","obscure","laugh","crying","class","aversion","love story","confusion","adventure","wonder woman"
"16","","","perplexing","chuckle","","descendents","chiller","kiss","uncertainty","adventurous","valerian"
"17","","","puzzling","giggle","","descent","detestation","flirt","dilemma","","martian"
"18","","","secretive","grin","","dynasty","dislike","smooch","doubt","","rockets"
"19","","","strange","howl","","extraction","hate","emotion","thriller","","guns"
"20","","","unknown","chortle","","forebears","loathing","tenderness","","","time machine"
"21","","","weird","guffaw","","genealogy","monstrosity","fondnesss","","","horcrux"
"22","","","recondite","titter","","generations","repugnance","infatuation","","","harry potter"
"23","","","covert","roll","","in-laws","trepidation","lust","","",""
"24","","","","crack","","inheritance","trepidate","passion","","",""
"25","","","","snicker","","kindred","horror","respect","","",""
"26","","","","","","lineage","","ardor","","",""
"27","","","","","","pedigree","","fervor","","",""
"28","","","","","","progenitors","","fidelity","","",""
"29","","","","","","progeny","","flame","","",""
"30","","","","","","race","","like","","",""
"31","","","","","","relations","","worship","","",""
"32","","","","","","relationship","","zeal","","",""
"33","","","","","","relatives","","soft spot","","",""
"34","","","","","","siblings","","desire","","",""
"35","","","","","","strain","","sentiment","","",""
"36","","","","","","heir","","heart","","",""
"37","","","","","","","","solicitude","","",""
"38","","","","","","","","crush","","",""
"39","","","","","","","","beguin","","",""
